"filename", "language", "Properties", "pip requirements", "Python", "XML", "JavaScript", "Markdown", "JSON", "HTML", "JavaScript JSX", "PostCSS", "Log", "comment", "blank", "total"
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\contextos\AuthContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 10, 21, 161
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\contextos\EquipoContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\contextos\HorarioContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\contextos\ReservaContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\contextos\RutinaContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\diseños\LayoutAdmin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 2, 14
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\diseños\LayoutAuth.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\diseños\LayoutCliente.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 4, 15
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\diseños\LayoutEntrenador.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\hooks\useAuth.js", "JavaScript", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 7, 12, 90
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\hooks\useClientType.js", "JavaScript", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 17, 15, 120
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\hooks\useEquipos.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\hooks\useHorarios.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\hooks\useNotification.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 4, 17
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\hooks\useReservas.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\hooks\useRutinas.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\hooks\useUsuarios.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\AdminDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 654, 0, 0, 42, 69, 765
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\PerfilAdmin.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 313, 0, 0, 19, 40, 372
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\componentes\BodyMetricsCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\componentes\CalculatedMetrics.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 1, 4, 34
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\componentes\PersonalInfoCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\componentes\charts\MetricsRadarChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 2, 7, 97
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\equipos\Equipos.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 481, 0, 0, 23, 57, 561
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\equipos\componentes\EquipoFilters.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 266, 0, 0, 10, 23, 299
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\equipos\componentes\EquipoSearch.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 196, 0, 0, 0, 18, 214
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\equipos\componentes\EquipoTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 275, 0, 0, 8, 28, 311
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\equipos\modales\CambiarEstadoModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 9, 12, 166
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\equipos\modales\CrearEquipoModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 9, 15, 181
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\equipos\modales\EditarEquipoModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 9, 15, 181
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\horarios\Horarios.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 483, 0, 0, 25, 61, 569
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\horarios\HorariosTurno.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 388, 0, 0, 23, 42, 453
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\horarios\componentes\HorarioFilters.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 151, 0, 0, 9, 15, 175
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\horarios\componentes\HorarioSearch.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 220, 0, 0, 13, 19, 252
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\horarios\componentes\HorarioTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 390, 0, 0, 12, 40, 442
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\horarios\modales\CambiarEstadoModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 232, 0, 0, 17, 25, 274
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\horarios\modales\CrearHorarioModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 454, 0, 0, 40, 57, 551
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\horarios\modales\EditarHorarioModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 473, 0, 0, 39, 57, 569
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\horarios\modales\EliminarHorarioModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 260, 0, 0, 15, 27, 302
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\reportes\Reportes.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1836, 0, 0, 109, 251, 2196
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\reportes\componentes\Reporte0cupacion.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 676, 0, 0, 51, 90, 817
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\reportes\componentes\ReporteSaludUsuarios.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 804, 0, 0, 42, 89, 935
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\reservas\Reservas.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 437, 0, 0, 41, 57, 535
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\reservas\componentes\ReservaTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 452, 0, 0, 34, 36, 522
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\reservas\modales\CancelarReservaModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 316, 0, 0, 25, 39, 380
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\reservas\modales\CrearReservaModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 565, 0, 0, 50, 72, 687
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\rutinas\Rutinas.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 519, 0, 0, 25, 57, 601
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\rutinas\componentes\RutinaFilters.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 7, 17, 154
